FID,OBJECTID,County,StateName,STATE_FIPS,CNTY_FIPS,FIPS,Population,Shape_Leng,Shape_Area,lon,lat
0,1,Kauai,Hawaii,15,007,15007,73169,339276.116901999979746,1897992329.150000095367432,-159.596920124999997,22.039308570199999
1,2,Honolulu,Hawaii,15,003,15003,1014211,487019.877740999974776,1813624844.630000114440918,-158.047274167000012,21.482228175600000
2,3,Hawaii,Hawaii,15,001,15001,204027,643473.452517000027001,11816727943.700000762939453,-155.518237241000008,19.598126916999998
3,4,Kalawao,Hawaii,15,005,15005,91,58632.529134099997464,36005820.734099999070168,-156.947871541000012,21.170451970700000
4,5,Maui,Hawaii,15,009,15009,169713,728760.260235999943689,3457076475.820000171661377,-156.564439077999992,20.859590851000000
5,6,Aleutians East,Alaska,02,013,02013,3129,7964216.326120000332594,56294569719.099998474121094,-161.994107377999995,55.361602503299999
6,7,Bethel,Alaska,02,050,02050,17646,9245442.686760000884533,455971534366.000000000000000,-159.763804302000011,60.920847779200002
7,8,Kusilvak,Alaska,02,158,02158,7885,5350737.899050000123680,212569526366.000000000000000,-163.371676130999987,62.152832553400003
8,9,Dillingham,Alaska,02,070,02070,4998,3417955.258640000130981,196335093788.000000000000000,-158.211278410000006,59.801340918500003
9,10,Nome,Alaska,02,180,02180,9668,11218521.514799999073148,331082421703.000000000000000,-163.962977211999998,64.898300316900006
10,11,Northwest Arctic,Alaska,02,188,02188,7749,7791328.333700000308454,618726034721.000000000000000,-159.708199887000006,67.062019672600002
11,12,Bristol Bay,Alaska,02,060,02060,900,321896.934329000010621,5123577583.590000152587891,-156.703021438000007,58.742265483300002
12,13,Lake and Peninsula,Alaska,02,164,02164,1577,6385141.341169999912381,250188987770.000000000000000,-156.178822195999999,58.648218424100001
13,14,Kodiak Island,Alaska,02,150,02150,14169,9559576.180020000785589,59876396187.599998474121094,-153.783535865999994,57.676447414000002
14,15,Kenai Peninsula,Alaska,02,122,02122,58066,7736211.706539999693632,171706364723.000000000000000,-151.580317009999987,60.263915093100003
15,16,Matanuska-Susitna,Alaska,02,170,02170,101160,2652026.402850000187755,298680549639.000000000000000,-149.569874214999999,62.315953462899998
16,17,Anchorage,Alaska,02,020,02020,303152,740032.166512000025250,19213378078.000000000000000,-149.111168679000002,61.149875135400002
17,18,North Slope,Alaska,02,185,02185,9664,16632980.424300000071526,1851484283100.000000000000000,-153.436013085000013,69.308457242399996
18,19,Denali,Alaska,02,068,02068,1846,2080345.230939999921247,167668088191.000000000000000,-150.009356464000007,63.673296227199998
19,20,Yukon-Koyukuk,Alaska,02,290,02290,5419,9479186.437750000506639,2228562201710.000000000000000,-151.394343829000007,65.509233430199998
20,21,Petersburg,Alaska,02,195,02195,3367,4585493.260789999738336,28354305280.099998474121094,-133.252697426999987,56.820013539300000
21,22,Prince of Wales-Hyder,Alaska,02,198,02198,6096,7846862.882890000008047,30921730674.799999237060547,-132.692400921000001,55.513508263600002
22,23,Wrangell,Alaska,02,275,02275,2362,3187261.619010000023991,21562480544.099998474121094,-132.008816281999998,56.326989688099999
23,24,Ketchikan Gateway,Alaska,02,130,02130,13808,5200074.732309999875724,39113187047.599998474121094,-130.936013796999987,55.598716588999999
24,25,Valdez-Cordova,Alaska,02,261,02261,9333,12658001.187500000000000,397681059442.000000000000000,-144.450699237999999,61.571716835899998
25,26,Yakutat,Alaska,02,282,02282,618,3680053.951530000194907,80152551360.199996948242188,-140.370645373000002,59.892096714099999
26,27,Fairbanks North Star,Alaska,02,090,02090,101502,1850582.444350000005215,105851255392.000000000000000,-146.563885954000000,64.808490203000005
27,28,Southeast Fairbanks,Alaska,02,240,02240,6773,3537258.711720000021160,333783772965.000000000000000,-143.206864671999995,63.877170028800002
28,29,Sitka,Alaska,02,220,02220,9162,4843512.055340000428259,25750681029.799999237060547,-135.298547388000003,57.235057970299998
29,30,Hoonah-Angoon,Alaska,02,105,02105,2116,8884518.843140000477433,69706975775.600006103515625,-135.324438261000012,58.194285456999999
30,31,Haines,Alaska,02,100,02100,2529,1833871.916590000037104,23209404377.400001525878906,-135.502048008999992,59.122131694899998
31,32,Juneau,Alaska,02,110,02110,33384,1802332.147399999899790,26059456171.799999237060547,-134.180476755000001,58.461405678299997
32,33,Skagway,Alaska,02,230,02230,1046,390365.406599999987520,4691613848.279999732971191,-135.333273042999991,59.563738916699997
33,34,Monterey,California,06,053,06053,431696,792646.447253999998793,13215833478.500000000000000,-121.239009430999999,36.217164514600000
34,35,Santa Cruz,California,06,087,06087,278575,294155.255910000007134,1820158023.170000076293945,-122.001757681000001,37.056228324499997
35,36,Santa Clara,California,06,085,06085,1958087,479708.867772999976296,5314381657.260000228881836,-121.694734285999999,37.231594735000002
36,37,San Benito,California,06,069,06069,59354,458142.190617999993265,5599403013.409999847412109,-121.074976776000000,36.605681476400001
37,38,Ventura,California,06,111,06111,861790,481173.089551999990363,7091569646.039999961853027,-119.083557099000004,34.456588231700003
38,39,Los Angeles,California,06,037,06037,10275545,1020461.728699999977835,15559413943.799999237060547,-118.224897479000006,34.323079413499997
39,40,San Diego,California,06,073,06073,3328647,772836.486031000036746,15655800652.100000381469727,-116.732907195999999,33.035951856899999
40,41,Orange,California,06,059,06059,3229809,298695.101345999981277,2997986013.710000038146973,-117.761011592000003,33.702897269099999
41,42,Riverside,California,06,065,06065,2388710,912351.695568999974057,27427254908.000000000000000,-115.993815546999997,33.743687321600000
42,43,Santa Barbara,California,06,083,06083,449510,862141.481967999949120,10560593992.200000762939453,-120.016708922000007,34.672970912399997
43,44,San Luis Obispo,California,06,079,06079,284693,784045.846224999986589,12966164363.399999618530273,-120.403987920999995,35.387105192500002
44,45,Kern,California,06,029,06029,897549,859362.079168000025675,31840643184.099998474121094,-118.729823615000001,35.342926871099998
45,46,Kings,California,06,031,06031,152405,355656.400236000015866,5528032111.229999542236328,-119.815530523000007,36.075333153199999
46,47,Merced,California,06,047,06047,271689,434805.871089999971446,8084603187.420000076293945,-120.717859279999999,37.191499532599998
47,48,Fresno,California,06,019,06019,989303,1123719.487870000069961,24303385057.200000762939453,-119.649299659999997,36.758176041799999
48,49,Madera,California,06,039,06039,156213,617490.591019000043161,8810712125.760000228881836,-119.762652305000003,37.218054192399997
49,50,Tulare,California,06,107,06107,467780,645412.792062000022270,19294782920.500000000000000,-118.800475739000007,36.220147672499998
50,51,Inyo,California,06,027,06027,18416,1058697.801900000078604,41088757847.900001525878906,-117.410751071999996,36.511110574999996
51,52,San Bernardino,California,06,071,06071,2153382,1247702.073009999934584,77495847008.100006103515625,-116.178440433999995,34.841460216100003
52,53,Mendocino,California,06,045,06045,89584,781131.308945000055246,15272110449.399999618530273,-123.391219315000001,39.440313115899997
53,54,San Francisco,California,06,075,06075,871042,144940.895278000010876,196662532.384999990463257,-122.442843549000003,37.755704734500000
54,55,Marin,California,06,041,06041,261748,516776.893655000021681,2200310415.840000152587891,-122.718282721999998,38.072415375399999
55,56,San Mateo,California,06,081,06081,763610,335179.396024000016041,1878640057.400000095367432,-122.328941192000002,37.421995346300001
56,57,Contra Costa,California,06,013,06013,1135585,370992.756204999983311,3166767842.559999942779541,-121.926344620999998,37.919178650799999
57,58,Sonoma,California,06,097,06097,509142,504219.570608999987599,6739371243.020000457763672,-122.887090048000005,38.528403039300002
58,59,Napa,California,06,055,06055,143012,351638.840058000001591,3339792863.480000019073486,-122.330495544000001,38.506496538699999
59,60,Solano,California,06,095,06095,439903,337560.826590000011493,3744555620.050000190734863,-121.932628816000005,38.270057245399997
60,61,Alameda,California,06,001,06001,1647386,467391.300785000028554,3079142801.210000038146973,-121.886048041999999,37.646472726699997
61,62,San Joaquin,California,06,077,06077,744029,419856.233394999988377,5949021524.720000267028809,-121.271386383000007,37.934660170100003
62,63,Stanislaus,California,06,099,06099,540604,487167.422533000004478,6250162897.949999809265137,-120.997506567000002,37.559047666700003
63,64,Sacramento,California,06,067,06067,1513201,408549.015402999997605,4203625188.369999885559082,-121.344001781000003,38.449528143300000
64,65,Yolo,California,06,113,06113,216044,417915.191671999986283,4356553117.210000038146973,-121.901650334999999,38.686717704700001
65,66,Colusa,California,06,011,06011,22344,388980.851536999980453,4991039127.210000038146973,-122.237051870000002,39.177587943299997
66,67,Glenn,California,06,021,06021,28774,404599.293604000005871,5796273974.859999656677246,-122.392221190000001,39.598397952500001
67,68,Lake,California,06,033,06033,65976,466853.869550000003073,5725398894.859999656677246,-122.753166716999999,39.099619490800002
68,69,Tehama,California,06,103,06103,65042,630652.874670000048354,13137548677.100000381469727,-122.233887014000004,40.125742301899997
69,70,Butte,California,06,007,06007,229177,536407.298678999999538,7341267069.449999809265137,-121.600618280999996,39.666944729000001
70,71,Sutter,California,06,101,06101,97309,353219.424637000018265,2615936092.780000209808350,-121.694847135000003,39.034637020900000
71,72,Yuba,California,06,115,06115,76307,368066.205133999988902,2784836649.150000095367432,-121.351197843999998,39.269010542499998
72,73,Placer,California,06,061,06061,381674,538722.446191999944858,6462070436.449999809265137,-120.717536592000002,39.063533173499998
73,74,Lassen,California,06,035,06035,32275,776795.498646999942139,21276769788.900001525878906,-120.594301199000000,40.673551229799997
74,75,Plumas,California,06,063,06063,19292,657042.084976000012830,11549192227.799999237060547,-120.838570568999998,40.004685606400002
75,76,Humboldt,California,06,023,06023,138972,817366.977258999948390,16162530486.299999237060547,-123.873271435000007,40.698940548899998
76,77,Del Norte,California,06,015,06015,27363,398336.556518000026699,4719499420.220000267028809,-123.896797969999994,41.743107836699998
77,78,Curry,Oregon,41,015,41015,23615,623388.838744999957271,7782306227.090000152587891,-124.156679310000001,42.457791344699999
78,79,Josephine,Oregon,41,033,41033,86852,447682.492488000018056,7791923720.939999580383301,-123.555528042000006,42.365403551299998
79,80,Coos,Oregon,41,011,41011,64733,663327.362406000029296,7846857867.449999809265137,-124.057513307999997,43.171821480500000
80,81,Trinity,California,06,105,06105,13367,802787.759954000008292,14448114289.500000000000000,-123.112629730999998,40.650691961699998
81,82,Shasta,California,06,089,06089,181656,711885.409340000012890,17388171954.000000000000000,-122.040524196999996,40.763769936499997
82,83,Siskiyou,California,06,093,06093,45000,895812.364840000052936,29416851865.099998474121094,-122.540346588000006,41.592659284200003
83,84,Modoc,California,06,049,06049,9489,566523.504750999971293,19478674751.599998474121094,-120.724971557999993,41.589842843900001
84,85,Douglas,Oregon,41,019,41019,110879,931293.016061999951489,24786361719.900001525878906,-123.166165444000001,43.279608214100001
85,86,Jackson,Oregon,41,029,41029,216670,515290.339360999991186,13329522667.000000000000000,-122.728447579000004,42.432145616699998
86,87,Klamath,Oregon,41,035,41035,67596,841740.016243000049144,29428328030.500000000000000,-121.650128124999995,42.686360730899999
87,88,Calaveras,California,06,009,06009,44859,374146.681213999981992,4354597673.420000076293945,-120.554080904000003,38.204685819600002
88,89,Mariposa,California,06,043,06043,18014,435659.117084999976214,6044061132.140000343322754,-119.905316393000007,37.581612172200003
89,90,Tuolumne,California,06,109,06109,55346,645142.250358000048436,9517993318.299999237060547,-119.955024769000005,38.027379640400000
90,91,Amador,California,06,005,06005,37913,361972.826108000008389,2562821973.030000209808350,-120.651226116000004,38.446361752800001
91,92,El Dorado,California,06,017,06017,191254,471559.829450000019278,7624399271.210000038146973,-120.524938734000003,38.778727289400003
92,93,Alpine,California,06,003,06003,1080,275594.869999999995343,3157762491.130000114440918,-119.820736777999997,38.597342661399999
93,94,Douglas,Nevada,32,005,32005,48876,304215.971787000016775,3159918514.619999885559082,-119.616381826999998,38.912241470100000
94,95,Mono,California,06,051,06051,13680,695336.687935000052676,13060103238.100000381469727,-118.886622036000006,37.939002638100000
95,96,Mineral,Nevada,32,021,32021,4551,619697.992575000040233,16166386022.799999237060547,-118.435207668000004,38.538810986100003
96,97,Nevada,California,06,057,06057,101215,435740.379123000020627,4220695420.519999980926514,-120.768170667999996,39.301412925299999
97,98,Sierra,California,06,091,06091,3079,375780.987030000018422,4199907316.980000019073486,-120.516078554000003,39.580382544899997
98,99,Storey,Nevada,32,029,32029,4042,193312.096672000014223,1147333660.509999990463257,-119.529188942999994,39.446595916800000
99,100,Carson City,Nevada,32,510,32510,54305,149145.493152000010014,672860890.167000055313110,-119.746663733999995,39.150853261300000
100,101,Washoe,Nevada,32,031,32031,460932,1046572.932969999965280,29490415459.000000000000000,-119.664241808000000,40.665260175000000
101,102,Churchill,Nevada,32,001,32001,24624,729967.948302999953739,21932558014.299999237060547,-118.335699192999996,39.580844432299997
102,103,Lyon,Nevada,32,019,32019,54703,611446.486645000055432,8698701721.360000610351563,-119.189199685000006,39.020378210600001
